epoch	loss	acc	val_loss	val_acc
0	4.426986	0.155200	2.222205	0.199600
1	2.116384	0.220480	1.999295	0.285000
2	1.984759	0.285280	1.930051	0.312800
3	1.922161	0.317840	1.879010	0.343500
4	1.880525	0.333920	1.841193	0.359000
5	1.846816	0.349420	1.809347	0.373400
6	1.815816	0.360020	1.775750	0.379700
7	1.789809	0.370960	1.750597	0.391500
8	1.761098	0.381000	1.724640	0.390900
9	1.740609	0.385020	1.701092	0.406400
10	1.721706	0.395900	1.677843	0.412000
11	1.704286	0.400860	1.663658	0.414900
12	1.688665	0.406720	1.650826	0.417800
13	1.673063	0.411720	1.640747	0.425100
14	1.663369	0.417680	1.621311	0.426400
15	1.654084	0.420880	1.610045	0.430600
16	1.638758	0.425600	1.605965	0.433700
17	1.626195	0.429640	1.595161	0.438300
18	1.619655	0.431840	1.580060	0.441900
19	1.607900	0.435720	1.579256	0.449500
20	1.604844	0.437340	1.569287	0.443200
21	1.588490	0.444620	1.557037	0.452500
22	1.579572	0.446340	1.562782	0.450900
23	1.581039	0.445840	1.545158	0.460600
24	1.565882	0.448700	1.537157	0.461400
25	1.557112	0.454920	1.529755	0.464900
26	1.550182	0.455800	1.523711	0.466500
27	1.546653	0.456600	1.517927	0.469900
28	1.541312	0.459560	1.519703	0.467600
29	1.532899	0.463840	1.523504	0.464400
30	1.528112	0.465580	1.503696	0.472600
31	1.513608	0.469220	1.495051	0.474800
32	1.510178	0.471140	1.501560	0.473400
33	1.510030	0.471560	1.492522	0.476700
34	1.503206	0.473340	1.492464	0.474500
35	1.501745	0.473740	1.491042	0.477700
36	1.496652	0.477200	1.476073	0.478700
37	1.486291	0.479540	1.471978	0.487600
38	1.478214	0.485160	1.480119	0.482200
39	1.480805	0.480620	1.481999	0.476200
40	1.473495	0.482880	1.462097	0.488800
41	1.464918	0.489940	1.469730	0.485200
42	1.464373	0.487180	1.471266	0.482600
43	1.461632	0.487660	1.454284	0.490000
44	1.451789	0.493520	1.452698	0.495100
45	1.450095	0.493120	1.447660	0.486700
46	1.441704	0.496300	1.449051	0.488600
47	1.441437	0.496980	1.442501	0.495600
48	1.433252	0.497740	1.453041	0.490700
49	1.429975	0.499680	1.444107	0.496100
50	1.437357	0.494900	1.435310	0.497000
51	1.422931	0.502520	1.455923	0.489700
52	1.430294	0.499460	1.430874	0.497500
53	1.410987	0.506880	1.429329	0.496300
54	1.415994	0.504080	1.422325	0.500400
55	1.408720	0.507460	1.428484	0.500700
56	1.400411	0.511180	1.442229	0.498200
57	1.400704	0.511280	1.429006	0.497400
58	1.400417	0.511200	1.433845	0.502300
59	1.395026	0.511400	1.415319	0.502600
60	1.387036	0.517280	1.407214	0.505300
61	1.382651	0.518420	1.408081	0.512400
62	1.379565	0.518740	1.417985	0.498800
63	1.375853	0.519100	1.410101	0.507100
64	1.372637	0.521640	1.405628	0.506100
65	1.369134	0.519900	1.404987	0.503400
66	1.366282	0.522000	1.408546	0.505500
67	1.373803	0.519720	1.419508	0.501000
68	1.365588	0.523660	1.399953	0.510700
69	1.357848	0.526420	1.405220	0.504800
70	1.349061	0.529080	1.404657	0.504700
71	1.349189	0.527580	1.400258	0.509900
72	1.348067	0.529400	1.401079	0.512000
73	1.346718	0.530980	1.395031	0.510600
74	1.342594	0.530440	1.391272	0.511900
75	1.336158	0.532580	1.386818	0.512500
76	1.330371	0.536100	1.385040	0.520000
77	1.333827	0.534780	1.396758	0.512300
78	1.327066	0.539620	1.399260	0.509500
79	1.326410	0.536920	1.390919	0.511700
80	1.324090	0.539520	1.385518	0.514200
81	1.318622	0.538840	1.385524	0.515500
82	1.312161	0.543120	1.373971	0.520700
83	1.304550	0.543660	1.391994	0.510400
84	1.302243	0.546520	1.379319	0.513600
85	1.300823	0.546360	1.385150	0.514400
86	1.303639	0.545260	1.376746	0.517700
87	1.295237	0.548060	1.379230	0.514600
88	1.294172	0.548720	1.380938	0.513800
89	1.291098	0.550180	1.364627	0.522900
90	1.289201	0.549800	1.396302	0.513800
91	1.293730	0.549620	1.375797	0.516100
92	1.290953	0.549280	1.382472	0.518200
93	1.285995	0.549240	1.375094	0.518100
94	1.287106	0.548720	1.381937	0.512500
95	1.281875	0.552940	1.381127	0.515500
96	1.281941	0.552280	1.372505	0.516600
97	1.271344	0.557480	1.381735	0.514300
