epoch	loss	acc	val_loss	val_acc
0	0.296478	0.106300	0.332451	0.106700
1	0.333060	0.116060	0.356732	0.138200
2	0.350663	0.119640	0.353417	0.115900
3	0.361390	0.118400	0.402588	0.099700
4	0.377556	0.116360	0.344923	0.104200
5	0.377093	0.110980	0.417195	0.130900
6	0.397357	0.112560	0.457084	0.101000
7	0.401947	0.117080	0.398932	0.113800
8	0.400427	0.121220	0.384127	0.127300
9	0.402598	0.128860	0.419088	0.100100
10	0.429493	0.109860	0.405383	0.106000
11	0.411859	0.119900	0.469868	0.100000
12	0.414578	0.115320	0.408156	0.106000
13	0.409871	0.118920	0.460734	0.105700
14	0.422647	0.116340	0.433820	0.101300
15	0.427925	0.116600	0.442512	0.134800
16	0.393350	0.135560	0.373229	0.130400
17	0.414596	0.129180	0.438686	0.100700
18	0.422710	0.123200	0.430170	0.103400
19	0.426200	0.114200	0.471624	0.124600
20	0.434180	0.135680	0.416942	0.105900
21	0.424294	0.112860	0.456524	0.106400
22	0.430545	0.110800	0.425864	0.100000
23	0.411761	0.114700	0.420673	0.129600
24	0.442569	0.114280	0.411044	0.099600
25	0.423847	0.112600	0.388720	0.156600
26	0.456901	0.110540	0.409153	0.116100
27	0.445784	0.108960	0.430533	0.100000
28	0.433581	0.110660	0.414903	0.129600
29	0.455888	0.119600	0.429115	0.111000
30	0.449015	0.124000	0.467084	0.100000
31	0.446273	0.108180	0.436105	0.131700
32	0.465768	0.122700	0.400382	0.143800
33	0.463410	0.107880	0.455922	0.100000
34	0.451931	0.109840	0.452330	0.101400
35	0.448514	0.113760	0.462101	0.117800
36	0.453606	0.114940	0.472166	0.121900
37	0.445164	0.115560	0.413353	0.125700
38	0.450442	0.130540	0.439593	0.100500
39	0.451937	0.116620	0.461975	0.100400
40	0.446160	0.106760	0.461018	0.151500
41	0.477479	0.115300	0.482991	0.100000
42	0.446352	0.115220	0.475213	0.111000
43	0.449612	0.126060	0.430370	0.140700
44	0.471495	0.129900	0.501719	0.113300
45	0.451092	0.107160	0.459654	0.100100
46	0.464043	0.111800	0.436870	0.104900
47	0.444933	0.115560	0.465229	0.109300
