epoch	loss	acc	val_loss	val_acc
0	6.113719	0.111660	6.078836	0.134700
1	6.051845	0.151960	6.032748	0.151900
2	6.078228	0.179520	6.118461	0.167200
3	6.072693	0.175980	6.026788	0.204300
4	6.123167	0.217340	6.549047	0.250200
5	7.252367	0.207320	7.268618	0.245500
6	7.385657	0.151620	7.470852	0.100000
7	7.457788	0.100100	7.449041	0.100200
8	7.438419	0.100620	7.431829	0.100700
9	7.426589	0.101420	7.422761	0.102400
10	7.419056	0.102420	7.414973	0.103900
11	7.410830	0.104140	7.407627	0.106000
12	7.403763	0.106640	7.400686	0.108500
13	7.394395	0.110880	7.392881	0.112200
14	7.393183	0.119900	7.382268	0.120800
15	7.381385	0.122400	7.389307	0.139600
16	7.400894	0.163460	7.376966	0.158800
17	7.364366	0.148020	7.360782	0.136100
18	7.360338	0.142320	7.346044	0.145600
19	7.343299	0.162940	7.326338	0.166800
20	7.328777	0.171100	7.328019	0.163100
21	7.355001	0.153920	7.464028	0.108200
22	7.393492	0.154820	7.337910	0.201300
23	7.328640	0.174120	7.317053	0.166000
24	7.324039	0.176920	7.410331	0.171800
25	7.342070	0.215920	7.321989	0.197000
26	7.428757	0.168480	7.520261	0.125000
27	7.495797	0.117100	7.481458	0.111400
28	7.473352	0.109240	7.468265	0.107900
29	7.463269	0.107080	7.460009	0.106800
30	7.455884	0.107060	7.453561	0.107400
31	7.450070	0.107500	7.448236	0.107700
32	7.445477	0.108380	7.444613	0.108700
33	7.441297	0.109540	7.440087	0.109400
34	7.437172	0.110640	7.435802	0.110700
35	7.433499	0.112180	7.431780	0.112800
36	7.429684	0.114440	7.428059	0.116700
37	7.426661	0.118500	7.424398	0.120200
38	7.423293	0.121500	7.421034	0.122300
39	7.420564	0.124280	7.420451	0.125600
40	7.417308	0.127760	7.416547	0.128400
41	7.413381	0.133880	7.415190	0.138600
42	7.410684	0.141500	7.410992	0.140600
43	7.407261	0.144660	7.407356	0.143800
44	7.408750	0.163020	7.411851	0.173600
45	7.403835	0.172720	7.401739	0.167000
46	7.397533	0.169280	7.397878	0.171500
47	7.395805	0.178220	7.430413	0.164300
48	7.451069	0.130820	7.448526	0.130000
49	7.438248	0.138440	7.430893	0.148500
50	7.422937	0.159720	7.417641	0.171100
51	7.409461	0.184300	7.405319	0.193100
52	7.398077	0.208380	7.394881	0.218700
53	7.389961	0.227000	7.386168	0.227900
54	7.384690	0.230500	7.380480	0.232500
55	7.380095	0.238860	7.376405	0.235100
56	7.376781	0.240440	7.374228	0.240900
57	7.372183	0.246020	7.374088	0.248600
58	7.370886	0.251000	7.369345	0.254200
59	7.364865	0.256640	7.361935	0.265000
60	7.357819	0.263300	7.353965	0.266600
61	7.352946	0.266380	7.358292	0.263400
62	7.357135	0.259320	7.371131	0.196000
63	7.344326	0.231600	7.333506	0.262300
64	7.368058	0.205380	7.435566	0.107400
65	7.400121	0.120640	7.371759	0.147400
66	7.359742	0.197260	7.353587	0.189200
67	7.340061	0.217700	7.324512	0.249400
68	7.326698	0.245160	7.336676	0.256400
69	7.378441	0.171220	7.366601	0.156400
70	7.341796	0.204940	7.338507	0.241800
71	7.364675	0.256760	7.395446	0.257600
72	7.364793	0.258440	7.354504	0.254400
73	7.361393	0.238280	7.349331	0.234000
74	7.374750	0.184980	7.313505	0.208800
75	7.344416	0.239980	7.397861	0.182300
76	7.333264	0.217940	7.325078	0.239800
77	7.318974	0.264900	7.336206	0.273600
78	7.325937	0.272140	7.460939	0.259400
79	7.422348	0.184240	7.366822	0.192100
80	7.331234	0.235160	7.302568	0.267800
81	7.299429	0.278100	7.335252	0.273300
82	7.424692	0.136580	7.406175	0.127000
83	7.380161	0.149040	7.358062	0.154000
84	7.338017	0.186520	7.318184	0.218800
85	7.304577	0.257640	7.316920	0.269600
86	7.461218	0.209100	7.559311	0.166100
87	7.524482	0.166880	7.499162	0.164200
88	7.489463	0.165000	7.477318	0.161900
89	7.473301	0.162520	7.465786	0.159200
90	7.463275	0.160160	7.458548	0.157400
91	7.456595	0.157240	7.452980	0.154800
92	7.451256	0.154600	7.448649	0.151900
93	7.447206	0.152060	7.445018	0.150100
94	7.443842	0.149040	7.441888	0.147200
95	7.440912	0.146800	7.439111	0.145500
96	7.438304	0.144520	7.436620	0.143100
97	7.435933	0.142100	7.434345	0.140800
98	7.433753	0.140860	7.432209	0.139300
99	7.431724	0.139600	7.430238	0.138000
