epoch	loss	acc	val_loss	val_acc
0	0.326302	0.111360	0.156510	0.164000
1	0.132394	0.158000	0.116149	0.190600
2	0.111533	0.189900	0.106846	0.204100
3	0.105018	0.210200	0.102351	0.220300
4	0.101196	0.224360	0.099317	0.234000
5	0.098393	0.238020	0.097197	0.244600
6	0.096227	0.248940	0.095432	0.251200
7	0.094542	0.258080	0.093944	0.266400
8	0.093191	0.266580	0.092765	0.269400
9	0.092204	0.273200	0.091346	0.281400
10	0.091030	0.282820	0.090456	0.288000
11	0.090231	0.286640	0.090071	0.285900
12	0.089745	0.291260	0.089247	0.295300
13	0.088789	0.297880	0.089070	0.304900
14	0.088168	0.304760	0.088008	0.311300
15	0.087473	0.308640	0.087375	0.310000
16	0.087143	0.312720	0.087382	0.316800
17	0.086766	0.316020	0.087269	0.312600
18	0.086624	0.315540	0.086725	0.315000
19	0.086170	0.321200	0.086668	0.314000
20	0.086002	0.320980	0.085825	0.326800
21	0.085473	0.328420	0.085761	0.317400
22	0.085173	0.329020	0.087029	0.321400
23	0.084718	0.336320	0.085061	0.331700
24	0.084623	0.337100	0.084560	0.339700
25	0.084504	0.338160	0.085069	0.329000
26	0.084115	0.343080	0.084738	0.334800
27	0.084401	0.339500	0.084819	0.342200
28	0.084316	0.337740	0.084244	0.347600
29	0.083497	0.351540	0.084133	0.339200
30	0.083819	0.346840	0.085462	0.316300
31	0.084457	0.340180	0.084806	0.337200
32	0.083645	0.346700	0.083864	0.343900
33	0.083592	0.344820	0.085239	0.323100
34	0.082827	0.355560	0.084138	0.339700
35	0.082962	0.351680	0.084677	0.320000
36	0.083153	0.352100	0.085765	0.317900
37	0.084188	0.341080	0.083718	0.344500
38	0.082765	0.359740	0.083480	0.342400
39	0.082490	0.355880	0.083411	0.339600
40	0.082487	0.364180	0.084487	0.333000
41	0.082359	0.359780	0.083434	0.350900
42	0.082616	0.357480	0.083929	0.335300
43	0.082245	0.362480	0.083129	0.351100
44	0.082729	0.351240	0.084943	0.315100
45	0.082759	0.356220	0.083969	0.336500
46	0.081953	0.365200	0.081913	0.365000
47	0.082117	0.362780	0.083119	0.357700
48	0.082171	0.366640	0.082765	0.352700
49	0.081683	0.368140	0.082443	0.354300
50	0.081333	0.375900	0.083014	0.344500
51	0.081365	0.373840	0.083237	0.366700
52	0.081459	0.374200	0.082111	0.355600
53	0.081495	0.373800	0.083410	0.351800
54	0.082847	0.353680	0.085239	0.310600
55	0.081767	0.368500	0.081893	0.359800
56	0.080761	0.381220	0.082076	0.365600
57	0.080766	0.381640	0.087234	0.295500
58	0.081860	0.369160	0.082600	0.357400
59	0.082256	0.359820	0.088306	0.293900
60	0.082679	0.365140	0.087115	0.321000
61	0.082129	0.372500	0.083072	0.353100
62	0.081045	0.381100	0.083148	0.352900
63	0.082368	0.369800	0.082331	0.368300
64	0.082635	0.370600	0.084331	0.350500
65	0.082212	0.365520	0.083793	0.336900
66	0.082055	0.363640	0.082061	0.360800
