epoch	loss	acc	val_loss	val_acc
0	2.914408	0.029754	2.881663	0.013250
1	3.818468	0.009960	4.158407	0.005850
2	4.157777	0.005926	4.157676	0.005220
3	3.612362	0.005448	2.885319	0.004540
4	2.885378	0.004676	2.885319	0.004240
5	2.885376	0.004616	2.885320	0.003960
6	2.885375	0.004218	2.885321	0.003740
7	2.885374	0.003964	2.885322	0.003550
8	2.885373	0.003792	2.885324	0.003370
9	2.885372	0.003568	2.885325	0.003240
10	2.885372	0.003474	2.885327	0.003160
11	2.885371	0.003332	2.885328	0.003090
12	2.885370	0.003328	2.885330	0.002950
13	2.885370	0.003122	2.885333	0.002870
14	2.885370	0.003034	2.885337	0.002790
15	2.885369	0.002972	2.885348	0.002680
16	2.885369	0.002814	2.885450	0.002650
17	2.885368	0.002814	2.885450	0.002540
18	2.885368	0.002766	2.885450	0.002430
19	2.885367	0.002656	2.885449	0.002330
20	2.885367	0.002580	2.885449	0.002300
21	2.885367	0.002486	2.885449	0.002310
22	2.885366	0.002516	2.885449	0.002290
23	2.885366	0.002474	2.885449	0.002290
24	2.885366	0.002456	2.885449	0.002290
25	2.885366	0.002484	2.885449	0.002250
26	2.885365	0.002468	2.885449	0.002220
27	2.885365	0.002394	2.885449	0.002220
28	2.885365	0.002438	2.885449	0.002210
29	2.885365	0.002356	2.885449	0.002160
30	2.885365	0.002346	2.885449	0.002110
31	2.885364	0.002346	2.885449	0.002070
32	2.885364	0.002330	2.885449	0.002050
33	2.885364	0.002244	2.885449	0.002050
34	2.885364	0.002246	2.885449	0.002040
35	2.885364	0.002214	2.885449	0.002030
36	2.885364	0.002206	2.885449	0.002010
37	2.885363	0.002212	2.885448	0.001990
38	2.885363	0.002202	2.885448	0.001970
39	2.885363	0.002174	2.885448	0.001970
40	2.885363	0.002164	2.885448	0.001970
41	2.885363	0.002170	2.885448	0.001970
42	2.885363	0.002152	2.885448	0.001980
43	2.885363	0.002156	2.885448	0.001980
44	2.885363	0.002150	2.885448	0.001970
45	2.886795	0.004202	2.885447	0.000460
46	2.885447	0.000550	2.885447	0.000460
47	2.885447	0.000544	2.885447	0.000460
48	2.885447	0.000532	2.885447	0.000460
49	2.885447	0.000530	2.885447	0.000440
50	2.885447	0.000528	2.885447	0.000430
51	2.885447	0.000526	2.885447	0.000430
52	2.885447	0.000526	2.885447	0.000420
53	2.885447	0.000524	2.885447	0.000420
54	2.885447	0.000522	2.885447	0.000420
55	2.885447	0.000522	2.885447	0.000420
56	2.885447	0.000522	2.885447	0.000420
57	2.885447	0.000522	2.885447	0.000420
58	2.885447	0.000522	2.885447	0.000420
59	2.885447	0.000522	2.885447	0.000420
60	2.885447	0.000522	2.885447	0.000420
61	2.885447	0.000520	2.885447	0.000420
62	2.885447	0.000520	2.885447	0.000420
63	2.885447	0.000518	2.885447	0.000420
64	2.885447	0.000512	2.885447	0.000420
65	2.885447	0.000512	2.885447	0.000420
66	2.885447	0.000508	2.885447	0.000420
67	2.885447	0.000508	2.885447	0.000420
68	2.885447	0.000508	2.885447	0.000420
69	2.885447	0.000508	2.885447	0.000420
70	2.885447	0.000508	2.885447	0.000420
71	2.885447	0.000508	2.885447	0.000420
72	2.885447	0.000508	2.885447	0.000420
73	2.885447	0.000508	2.885447	0.000420
74	2.885447	0.000508	2.885447	0.000420
75	2.885447	0.000508	2.885447	0.000420
76	2.885447	0.000508	2.885447	0.000420
77	2.885447	0.000508	2.885447	0.000420
78	2.885447	0.000508	2.885447	0.000420
79	2.885447	0.000508	2.885447	0.000420
80	2.885447	0.000508	2.885447	0.000420
81	2.885447	0.000508	2.885447	0.000420
82	2.885447	0.000508	2.885447	0.000420
83	2.885447	0.000508	2.885447	0.000420
84	2.885447	0.000508	2.885447	0.000420
85	2.885447	0.000508	2.885447	0.000420
86	2.885447	0.000508	2.885447	0.000420
87	2.885447	0.000508	2.885447	0.000420
88	2.885447	0.000508	2.885447	0.000420
89	2.885447	0.000508	2.885447	0.000420
90	2.885447	0.000508	2.885447	0.000420
91	2.885447	0.000508	2.885447	0.000420
92	2.885447	0.000508	2.885447	0.000420
93	2.885447	0.000508	2.885447	0.000420
94	2.885447	0.000508	2.885447	0.000420
95	2.885447	0.000508	2.885447	0.000420
96	2.885447	0.000508	2.885447	0.000420
97	2.885447	0.000508	2.885447	0.000420
98	2.885447	0.000508	2.885447	0.000420
99	2.885447	0.000508	2.885447	0.000420
