epoch	loss	acc	val_loss	val_acc
0	0.103366	0.124500	0.099631	0.136700
1	0.099500	0.136040	0.099324	0.142800
2	0.099303	0.140960	0.099116	0.151300
3	0.099102	0.147300	0.099065	0.158100
4	0.099018	0.149800	0.098889	0.151000
5	0.098933	0.151500	0.098850	0.150600
6	0.098888	0.152720	0.098774	0.152500
7	0.098812	0.154020	0.098641	0.157600
8	0.098782	0.155520	0.098648	0.165300
9	0.098752	0.154380	0.098891	0.144100
10	0.098657	0.156540	0.098657	0.166200
11	0.098673	0.156240	0.098405	0.165200
12	0.098586	0.158280	0.098417	0.167900
13	0.098690	0.154280	0.099292	0.161900
14	0.098921	0.146820	0.098977	0.138000
15	0.098517	0.159300	0.098275	0.167200
16	0.098707	0.153060	0.098334	0.162700
17	0.098460	0.160220	0.098746	0.165700
18	0.098537	0.157640	0.098223	0.165500
19	0.099291	0.128680	0.099023	0.166500
20	0.098897	0.144720	0.098569	0.150900
21	0.098523	0.157240	0.098226	0.170500
22	0.098531	0.157380	0.098864	0.140400
23	0.098489	0.157880	0.098120	0.168800
24	0.098589	0.154820	0.098816	0.141600
25	0.098810	0.146300	0.099452	0.122300
26	0.098711	0.149800	0.099737	0.110700
27	0.098664	0.150460	0.098139	0.170900
28	0.098413	0.158960	0.099194	0.129800
29	0.098552	0.153320	0.098121	0.165600
30	0.099093	0.135700	0.098309	0.157000
31	0.098243	0.162080	0.098023	0.169800
32	0.099206	0.130600	0.098170	0.161500
33	0.098568	0.153100	0.098121	0.163700
34	0.098567	0.152640	0.098036	0.170400
35	0.098330	0.159480	0.098058	0.171300
36	0.098594	0.150600	0.098367	0.154200
37	0.098451	0.156440	0.098801	0.141800
38	0.099385	0.126360	0.098912	0.136100
39	0.098376	0.158580	0.099228	0.127600
40	0.098522	0.153520	0.098155	0.160300
41	0.098685	0.148180	0.098624	0.146000
42	0.098572	0.151400	0.097968	0.167600
43	0.098633	0.150160	0.099564	0.116200
44	0.097974	0.163500	0.098778	0.142000
45	0.097698	0.173620	0.096936	0.196400
46	0.097211	0.185860	0.098607	0.149500
47	0.097025	0.188380	0.096387	0.206500
48	0.097275	0.183560	0.099421	0.121900
49	0.097060	0.186900	0.098351	0.147200
50	0.097262	0.177260	0.096127	0.209200
51	0.096795	0.190680	0.097163	0.175700
52	0.097191	0.182940	0.098433	0.149100
53	0.097117	0.186300	0.098102	0.170100
54	0.098663	0.148580	0.099413	0.121200
55	0.098318	0.157700	0.098127	0.169400
56	0.098300	0.157920	0.098059	0.162800
57	0.098526	0.151260	0.097897	0.172100
58	0.098276	0.158280	0.098331	0.153800
59	0.098609	0.149240	0.098077	0.161600
60	0.098200	0.158760	0.098391	0.167900
61	0.098455	0.153980	0.098283	0.155500
62	0.098686	0.145940	0.097851	0.171300
63	0.098240	0.158920	0.098455	0.150800
64	0.099064	0.133820	0.099960	0.101200
65	0.099496	0.113760	0.098419	0.145400
66	0.098283	0.141320	0.099709	0.111000
67	0.098514	0.137560	0.098182	0.146100
68	0.097253	0.175260	0.097156	0.173200
69	0.098006	0.165960	0.098213	0.173800
70	0.097605	0.165020	0.097867	0.149200
71	0.097638	0.162800	0.096124	0.204600
72	0.096257	0.201020	0.096678	0.208000
73	0.096690	0.192820	0.096307	0.205200
74	0.097489	0.169540	0.097100	0.187300
75	0.096271	0.198620	0.097303	0.183800
76	0.096865	0.185500	0.097546	0.184200
77	0.097122	0.186520	0.097767	0.172600
78	0.096330	0.198320	0.097687	0.161200
79	0.096493	0.193560	0.102390	0.155800
80	0.098205	0.142640	0.098339	0.143500
81	0.098108	0.141500	0.099210	0.125900
82	0.098686	0.129320	0.098264	0.144000
83	0.098005	0.142400	0.097738	0.148500
84	0.098254	0.138020	0.099965	0.101100
85	0.098939	0.124460	0.098291	0.144100
86	0.098502	0.135260	0.098786	0.141400
87	0.098327	0.138620	0.097670	0.150000
88	0.098585	0.130900	0.098135	0.146700
89	0.098994	0.126460	0.099955	0.101400
90	0.098476	0.133260	0.097653	0.150000
91	0.097814	0.144460	0.097934	0.147900
92	0.098774	0.128720	0.097756	0.151100
93	0.098671	0.129720	0.098465	0.146500
94	0.097898	0.144520	0.098037	0.147500
95	0.097870	0.144520	0.098961	0.131000
96	0.098290	0.136500	0.098138	0.146500
97	0.098048	0.141400	0.099781	0.108400
98	0.098260	0.137100	0.098012	0.147600
99	0.098033	0.141600	0.097888	0.148700
100	0.098242	0.138380	0.099944	0.101800
101	0.098347	0.135640	0.098048	0.146500
102	0.098945	0.123880	0.099971	0.100800
103	0.099784	0.106280	0.099440	0.118800
104	0.097877	0.144880	0.099261	0.124500
105	0.098062	0.139940	0.097539	0.151000
106	0.098091	0.141660	0.097691	0.150100
107	0.098072	0.141000	0.099016	0.137200
108	0.098967	0.124720	0.097685	0.149500
109	0.097519	0.148340	0.098707	0.138200
110	0.098683	0.130680	0.098521	0.138000
111	0.097718	0.146240	0.097897	0.148200
112	0.097683	0.145820	0.097681	0.151300
113	0.098121	0.139300	0.099490	0.118000
114	0.098059	0.142060	0.097466	0.152000
115	0.097496	0.148080	0.097696	0.151200
116	0.098068	0.141940	0.097257	0.164400
117	0.096691	0.188580	0.097974	0.163600
118	0.097598	0.175720	0.097884	0.173500
119	0.098020	0.165080	0.095619	0.216200
120	0.096180	0.195540	0.095760	0.202400
121	0.096596	0.191820	0.098033	0.164000
122	0.096752	0.185380	0.097281	0.169200
123	0.096728	0.186600	0.097818	0.174900
124	0.096403	0.193560	0.096172	0.208500
125	0.096884	0.185860	0.099380	0.121600
126	0.097961	0.143220	0.099325	0.123300
127	0.097814	0.147940	0.098084	0.174800
128	0.096982	0.185480	0.097562	0.178600
129	0.096410	0.193660	0.097139	0.189600
130	0.097300	0.163480	0.098022	0.174200
131	0.097004	0.185440	0.095383	0.217800
132	0.097228	0.177860	0.098091	0.160500
133	0.098566	0.149620	0.099940	0.101500
134	0.099570	0.113160	0.098256	0.172800
135	0.098045	0.162820	0.097845	0.166800
136	0.098224	0.158240	0.097970	0.163700
137	0.098235	0.156780	0.097857	0.173100
138	0.098021	0.162400	0.097739	0.172000
139	0.097920	0.164500	0.098069	0.167800
140	0.099111	0.130680	0.099953	0.101100
141	0.099920	0.102160	0.099900	0.103400
142	0.098759	0.139280	0.097968	0.171700
143	0.098160	0.160240	0.097935	0.165400
144	0.098192	0.156760	0.098122	0.169000
145	0.098300	0.155180	0.098823	0.137500
146	0.098206	0.156840	0.097855	0.166000
147	0.098057	0.161960	0.098338	0.153500
148	0.098681	0.142780	0.098327	0.168200
149	0.098264	0.156540	0.098285	0.168200
150	0.098020	0.161740	0.098851	0.137300
151	0.098758	0.139260	0.099028	0.130900
152	0.098387	0.152440	0.098597	0.143500
153	0.098309	0.153740	0.099533	0.156900
154	0.098573	0.148120	0.097983	0.172200
155	0.098093	0.159640	0.098801	0.137300
156	0.098216	0.155460	0.097840	0.172700
157	0.098269	0.156440	0.097719	0.172000
158	0.098499	0.145120	0.099874	0.104700
159	0.098741	0.140480	0.098286	0.154800
160	0.099222	0.125040	0.098596	0.168400
161	0.098122	0.159700	0.098812	0.137400
162	0.098337	0.152040	0.099117	0.159200
163	0.098645	0.143800	0.097824	0.173300
164	0.098401	0.151240	0.097743	0.170700
165	0.097860	0.165460	0.099368	0.153800
166	0.099877	0.105880	0.099534	0.116600
167	0.098202	0.157420	0.098711	0.140100
168	0.098248	0.153940	0.097731	0.171100
169	0.098281	0.155380	0.099436	0.119000
170	0.098499	0.146880	0.097758	0.168600
171	0.098049	0.160020	0.099658	0.112400
172	0.098411	0.149600	0.099452	0.118500
173	0.098495	0.147360	0.099828	0.106400
174	0.098507	0.146420	0.098853	0.136100
175	0.098319	0.152740	0.098089	0.170800
176	0.098344	0.153640	0.097731	0.170400
177	0.097868	0.165340	0.097720	0.170300
178	0.098668	0.142400	0.099215	0.160600
179	0.098548	0.149380	0.099359	0.120400
180	0.097992	0.160540	0.099267	0.124000
181	0.098751	0.141360	0.098128	0.170400
182	0.098109	0.158520	0.098213	0.169700
183	0.098605	0.143940	0.097893	0.164300
184	0.098093	0.158640	0.097887	0.172800
185	0.098080	0.159300	0.099674	0.111300
186	0.099122	0.127760	0.097751	0.173200
187	0.098427	0.148080	0.099505	0.116900
188	0.098188	0.155340	0.097808	0.166800
189	0.098088	0.158200	0.097819	0.166600
190	0.098701	0.144280	0.099717	0.109800
191	0.098287	0.153020	0.097701	0.171700
192	0.098038	0.159380	0.097947	0.163300
193	0.098214	0.155980	0.097693	0.172200
194	0.097900	0.163160	0.097988	0.170000
195	0.098903	0.135960	0.099411	0.119000
196	0.098348	0.150300	0.097905	0.173100
197	0.098074	0.158520	0.097720	0.170700
198	0.098085	0.157760	0.097919	0.172700
199	0.098069	0.158480	0.098937	0.161800
200	0.098540	0.145020	0.098425	0.148800
201	0.098422	0.148180	0.097732	0.172200
202	0.098033	0.159660	0.097714	0.173400
203	0.098398	0.149060	0.097712	0.170700
204	0.098016	0.160600	0.099063	0.129300
205	0.098414	0.149280	0.097978	0.173000
206	0.098102	0.156260	0.097926	0.172300
207	0.098077	0.158120	0.098143	0.168900
208	0.098531	0.146840	0.097870	0.164500
209	0.097846	0.163960	0.099539	0.116600
210	0.098461	0.148780	0.097968	0.162200
