epoch	loss	acc	val_loss	val_acc
0	3.810554	0.141180	3.515796	0.221500
1	3.502212	0.199360	3.488730	0.200500
2	3.470836	0.199340	3.530098	0.152600
3	3.446993	0.222760	3.422123	0.207300
4	3.430300	0.238280	3.408361	0.249500
5	3.421716	0.248200	3.396526	0.287100
6	3.413493	0.218040	3.431693	0.187900
7	3.406127	0.249060	3.394707	0.274400
8	3.403945	0.258000	3.408316	0.259900
9	3.401311	0.262080	3.424573	0.264800
10	3.412874	0.264500	3.380407	0.284300
11	3.396237	0.268360	3.445904	0.283500
12	3.385642	0.268300	3.437479	0.297800
13	3.400113	0.266920	3.379954	0.282600
14	3.387890	0.281860	3.373383	0.292200
15	3.379657	0.257060	3.408630	0.213500
16	3.375426	0.277540	3.440248	0.272600
17	3.381776	0.283100	3.410275	0.277400
18	3.374490	0.270880	3.398651	0.262000
19	3.366041	0.278120	3.479486	0.211300
20	3.373503	0.279740	3.418694	0.244700
21	3.363453	0.260740	3.383569	0.277300
22	3.363685	0.281340	3.399293	0.249400
23	3.360329	0.287000	3.393512	0.281600
24	3.366818	0.280400	3.433229	0.279000
25	3.353365	0.287880	3.439152	0.260200
26	3.361619	0.291280	3.433644	0.262800
27	3.359939	0.285460	3.355447	0.294000
28	3.359123	0.296440	3.405774	0.307200
29	3.377648	0.295720	3.366264	0.289400
30	3.357527	0.284380	3.390192	0.279100
31	3.345840	0.284520	3.406237	0.233100
32	3.347852	0.278420	3.421070	0.245200
33	3.358873	0.292400	3.366448	0.299600
34	3.347723	0.294780	3.418024	0.251800
35	3.343837	0.287360	3.354197	0.295400
36	3.339463	0.293900	3.360350	0.272900
37	3.344076	0.295660	3.465205	0.237200
38	3.353115	0.294300	3.366243	0.303800
39	3.341460	0.295820	3.402171	0.293700
40	3.339680	0.305740	3.388751	0.309400
41	3.345078	0.296820	3.365483	0.287400
42	3.346005	0.276820	3.376728	0.234400
43	3.348797	0.299000	3.390064	0.202400
44	3.343802	0.275980	3.370101	0.268400
45	3.346347	0.289240	3.426538	0.294400
46	3.351130	0.277860	3.427568	0.235600
47	3.345707	0.295100	3.395152	0.298600
48	3.339754	0.294800	3.355501	0.288400
49	3.340097	0.298000	3.355128	0.307900
50	3.334666	0.311640	3.360898	0.307000
51	3.340396	0.307900	3.396014	0.298900
52	3.345846	0.308200	3.380498	0.302400
53	3.338847	0.308520	3.357083	0.309500
54	3.327392	0.308500	3.350361	0.281800
55	3.334115	0.270160	3.347519	0.281900
56	3.337728	0.286640	3.339081	0.313500
57	3.325091	0.314000	3.378134	0.308200
58	3.321965	0.300920	3.385381	0.321400
59	3.330411	0.292260	3.365291	0.293900
60	3.321965	0.307020	3.356142	0.313400
61	3.320916	0.306940	3.344908	0.288600
62	3.322011	0.313500	3.438428	0.306900
63	3.328285	0.304540	3.356300	0.325100
64	3.321878	0.311060	3.342172	0.321000
65	3.313147	0.314740	3.399585	0.275700
66	3.318495	0.303000	3.352931	0.314000
67	3.319926	0.314640	3.417917	0.310100
68	3.317386	0.309700	3.376638	0.299100
69	3.318654	0.301620	3.366202	0.303500
70	3.312642	0.315640	3.413536	0.291600
71	3.328236	0.304260	3.354300	0.298700
72	3.312106	0.311200	3.364445	0.322000
73	3.319524	0.320020	3.400542	0.308200
74	3.327293	0.304940	3.361494	0.316400
75	3.310165	0.314580	3.392975	0.304400
76	3.320300	0.305840	3.358204	0.285800
77	3.313514	0.304920	3.331821	0.302500
78	3.307726	0.318960	3.386233	0.299900
79	3.313176	0.316140	3.345018	0.294300
80	3.313874	0.315420	3.348404	0.286400
81	3.308497	0.312540	3.380521	0.306000
82	3.313019	0.312960	3.365928	0.314700
83	3.318975	0.320540	3.433813	0.318200
84	3.326325	0.300060	3.351801	0.287700
85	3.309781	0.301420	3.342990	0.303900
86	3.311820	0.322120	3.384302	0.309600
87	3.313280	0.317920	3.396389	0.309500
88	3.306516	0.315860	3.353787	0.311700
89	3.305857	0.305480	3.387801	0.283900
90	3.302537	0.308800	3.357619	0.302800
91	3.304317	0.313380	3.341910	0.319000
92	3.298245	0.315460	3.386807	0.284000
93	3.297951	0.309520	3.352490	0.310600
94	3.308666	0.322240	3.338224	0.317500
95	3.310195	0.301900	3.382429	0.269300
96	3.309549	0.303440	3.336568	0.316700
97	3.296464	0.319900	3.349668	0.297300
98	3.303792	0.320120	3.352326	0.298300
99	3.296648	0.317200	3.366038	0.294700
100	3.306177	0.320660	3.350303	0.303000
101	3.298486	0.328180	3.387534	0.323100
102	3.305598	0.310660	3.367828	0.305400
103	3.300464	0.315100	3.341935	0.320200
104	3.300080	0.325240	3.346399	0.313500
105	3.306317	0.318980	3.360956	0.298700
106	3.305549	0.306260	3.374418	0.280800
107	3.310527	0.298180	3.340929	0.309900
108	3.299360	0.315460	3.374770	0.329300
109	3.294851	0.318000	3.340144	0.318200
110	3.298784	0.310520	3.358340	0.290200
111	3.302983	0.308260	3.362885	0.311500
112	3.297899	0.316680	3.358544	0.297500
113	3.301803	0.323540	3.355019	0.323600
114	3.296970	0.330840	3.448598	0.296900
115	3.308476	0.318140	3.346050	0.308900
116	3.299627	0.321880	3.436653	0.271800
117	3.294254	0.322360	3.337108	0.326200
118	3.300671	0.316100	3.342703	0.316400
119	3.291402	0.321060	3.345834	0.313900
120	3.287559	0.325360	3.376936	0.327700
121	3.301557	0.321860	3.377551	0.310800
122	3.295206	0.313160	3.357709	0.308300
123	3.290142	0.315620	3.369043	0.300600
124	3.291108	0.322000	3.390997	0.288800
125	3.302314	0.311460	3.370531	0.317200
126	3.290136	0.316840	3.359087	0.328500
127	3.294605	0.315120	3.361735	0.302300
128	3.290554	0.318560	3.336622	0.309300
129	3.289977	0.328360	3.361193	0.328600
130	3.300225	0.327800	3.511314	0.328300
131	3.298102	0.323120	3.358682	0.315500
132	3.294452	0.328780	3.428188	0.290300
133	3.291456	0.326260	3.433046	0.333500
134	3.291190	0.327360	3.357934	0.325800
135	3.284564	0.329300	3.402606	0.322700
136	3.282370	0.326820	3.415945	0.311800
137	3.289020	0.327000	3.402091	0.320600
138	3.286135	0.325020	3.334728	0.322700
139	3.288423	0.326860	3.395949	0.291700
140	3.290906	0.315820	3.351013	0.287700
141	3.286814	0.313680	3.413236	0.289400
142	3.290124	0.315080	3.347239	0.315900
143	3.281907	0.326560	3.386986	0.315700
144	3.286759	0.324180	3.368370	0.325900
145	3.288575	0.323280	3.352600	0.322900
146	3.277613	0.326040	3.425926	0.333500
147	3.289903	0.326480	3.426008	0.288100
148	3.282841	0.325220	3.494562	0.289500
149	3.282149	0.330720	3.436784	0.331500
150	3.278535	0.327440	3.366464	0.318300
151	3.281212	0.330740	3.407126	0.296400
152	3.285818	0.316480	3.363897	0.320600
153	3.276948	0.331280	3.367410	0.329600
154	3.281075	0.330920	3.431327	0.321700
155	3.281813	0.322860	3.368706	0.317700
156	3.281488	0.311460	3.371353	0.295300
157	3.284379	0.312960	3.347841	0.329100
158	3.272511	0.327020	3.431577	0.328900
159	3.277285	0.325260	3.404659	0.320300
160	3.289958	0.302600	3.349140	0.301700
161	3.276396	0.320640	3.332086	0.331000
162	3.280383	0.331720	3.398240	0.312600
163	3.279788	0.320580	3.356991	0.324600
164	3.273723	0.324000	3.389561	0.317700
165	3.276733	0.333540	3.370693	0.326600
166	3.278064	0.330000	3.361437	0.329200
167	3.279097	0.333020	3.342590	0.319000
168	3.278915	0.323900	3.365242	0.296100
169	3.285981	0.320300	3.411942	0.327800
170	3.281764	0.329100	3.414562	0.294500
171	3.279639	0.328460	3.365330	0.319900
172	3.273650	0.326820	3.382509	0.318400
173	3.281147	0.313660	3.361581	0.309000
174	3.274015	0.323620	3.331275	0.316500
175	3.272863	0.328540	3.388924	0.313900
176	3.274603	0.322580	3.356760	0.305500
177	3.271923	0.330040	3.404010	0.295600
178	3.279543	0.322680	3.391831	0.328100
179	3.272633	0.333260	3.410196	0.328600
180	3.278944	0.334300	3.342707	0.315700
181	3.269198	0.331580	3.387229	0.326200
182	3.274050	0.326440	3.334346	0.317700
183	3.270203	0.328640	3.360299	0.324700
184	3.267488	0.334740	3.401371	0.297900
185	3.265407	0.329900	3.370943	0.316500
186	3.267818	0.330860	3.331983	0.333200
187	3.266445	0.326700	3.408061	0.321100
188	3.267550	0.336200	3.444987	0.310600
189	3.270797	0.329860	3.338954	0.319400
190	3.263003	0.332760	3.386416	0.334100
191	3.274511	0.325000	3.325187	0.324400
192	3.264887	0.330080	3.326126	0.315200
193	3.265916	0.331260	3.405151	0.315900
