epoch	loss	acc	val_loss	val_acc
0	0.047805	0.098920	0.043401	0.100000
1	0.043392	0.099540	0.043392	0.100000
2	0.043385	0.099860	0.043389	0.100300
3	0.043383	0.099940	0.043387	0.099900
4	0.043381	0.100020	0.043386	0.099900
5	0.043380	0.100000	0.043385	0.099800
6	0.043380	0.100120	0.043385	0.100000
7	0.043379	0.100120	0.043385	0.099900
8	0.043378	0.100280	0.043385	0.099900
9	0.043376	0.100700	0.043386	0.100000
10	0.043372	0.101120	0.043388	0.100600
11	0.043364	0.102980	0.043380	0.103700
12	0.043294	0.112460	0.043299	0.116700
13	0.043231	0.119560	0.043249	0.119200
14	0.043182	0.121900	0.043198	0.126200
15	0.043129	0.125240	0.043133	0.125600
16	0.043083	0.127360	0.043081	0.129600
17	0.043034	0.129680	0.043043	0.129900
18	0.042991	0.132220	0.042976	0.136500
19	0.042950	0.133900	0.042941	0.137000
20	0.042909	0.135900	0.042888	0.140100
21	0.042875	0.136980	0.042854	0.140600
22	0.042845	0.138320	0.042801	0.142700
23	0.042815	0.139880	0.042770	0.143600
24	0.042785	0.140300	0.042758	0.142100
25	0.042761	0.141140	0.042767	0.143000
26	0.042745	0.141080	0.042733	0.142300
27	0.042723	0.141940	0.042683	0.144600
28	0.042716	0.142300	0.042665	0.145100
29	0.042686	0.143260	0.042670	0.144800
30	0.042673	0.143800	0.042639	0.146700
31	0.042657	0.143740	0.042625	0.145500
32	0.042640	0.144180	0.042623	0.146800
33	0.042630	0.145080	0.042670	0.144300
34	0.042615	0.144760	0.042592	0.146300
35	0.042614	0.145060	0.042613	0.145400
36	0.042602	0.145440	0.042627	0.144800
37	0.042583	0.145620	0.042570	0.147100
38	0.042577	0.145880	0.042578	0.146300
39	0.042571	0.146120	0.042573	0.146200
40	0.042556	0.145800	0.042556	0.147400
41	0.042544	0.146200	0.042569	0.145400
42	0.042543	0.146100	0.042540	0.147600
43	0.042538	0.146100	0.042535	0.147700
44	0.042547	0.146240	0.042528	0.148400
45	0.042516	0.146800	0.042562	0.146000
46	0.042515	0.146660	0.042523	0.148800
47	0.042505	0.147000	0.042525	0.147300
48	0.042497	0.147700	0.042587	0.147600
49	0.042489	0.148020	0.042635	0.143000
50	0.042505	0.147160	0.042502	0.148900
51	0.042483	0.147740	0.042501	0.150100
52	0.042481	0.147320	0.042528	0.147300
53	0.042470	0.147680	0.042509	0.147700
54	0.042466	0.148100	0.042499	0.149700
55	0.042464	0.148480	0.042520	0.149100
56	0.042454	0.148020	0.042482	0.149000
57	0.042458	0.147680	0.042480	0.149000
58	0.042460	0.148380	0.042508	0.147400
59	0.042451	0.148200	0.042568	0.145300
60	0.042452	0.148300	0.042471	0.149000
61	0.042442	0.148400	0.042481	0.149900
62	0.042434	0.148440	0.042483	0.148400
63	0.042444	0.148380	0.042475	0.148100
64	0.042420	0.148240	0.042495	0.147000
65	0.042447	0.148520	0.042521	0.150500
66	0.042438	0.148380	0.042487	0.147500
67	0.042425	0.147760	0.042491	0.148100
68	0.042408	0.148460	0.042480	0.150600
69	0.042425	0.148640	0.042489	0.150700
70	0.042423	0.148740	0.042501	0.147400
71	0.042414	0.148420	0.042470	0.147800
72	0.042417	0.148320	0.042454	0.150700
73	0.042403	0.149020	0.042450	0.150600
74	0.042404	0.149640	0.042440	0.149000
75	0.042393	0.148600	0.042441	0.149000
76	0.042412	0.148080	0.042447	0.151000
77	0.042390	0.149200	0.042491	0.151200
78	0.042391	0.148820	0.042435	0.150400
79	0.042377	0.149380	0.042429	0.149700
80	0.042379	0.149080	0.042445	0.148900
81	0.042390	0.148420	0.042453	0.148500
82	0.042383	0.148440	0.042596	0.142500
83	0.042388	0.148320	0.042426	0.149400
84	0.042368	0.149360	0.042419	0.149500
85	0.042377	0.148620	0.042454	0.148100
86	0.042378	0.148840	0.042443	0.151100
87	0.042373	0.149300	0.042416	0.150000
88	0.042360	0.149420	0.042489	0.146400
89	0.042365	0.148680	0.042416	0.149500
90	0.042379	0.148820	0.042413	0.149800
91	0.042366	0.148600	0.042510	0.152000
92	0.042356	0.149000	0.042436	0.148600
93	0.042368	0.149160	0.042416	0.149400
94	0.042363	0.149340	0.042409	0.151400
95	0.042354	0.149520	0.042400	0.150200
96	0.042354	0.149760	0.042408	0.149500
97	0.042365	0.149520	0.042457	0.147800
98	0.042354	0.149200	0.042437	0.148300
99	0.042363	0.149220	0.042395	0.150500
