epoch	loss	acc	val_loss	val_acc
0	2.248045	0.165740	2.094878	0.222900
1	2.010524	0.267800	1.941669	0.304400
2	1.888541	0.319680	1.794222	0.355800
3	1.818188	0.345640	1.775072	0.358700
4	1.793358	0.353960	1.747920	0.372900
5	1.777571	0.360740	1.703998	0.388700
6	1.737540	0.378980	1.696734	0.397600
7	1.748841	0.373100	1.717961	0.382300
8	1.704802	0.393020	1.652646	0.406000
9	1.692739	0.394280	1.618638	0.419200
10	1.660248	0.406380	1.601152	0.429600
11	1.619576	0.423340	1.582188	0.432800
12	1.595878	0.430620	1.525106	0.461600
13	1.576575	0.436300	1.518164	0.460100
14	1.573966	0.441400	1.569803	0.436400
15	1.582532	0.433900	1.521057	0.466500
16	1.552281	0.446900	1.610319	0.431800
17	1.577211	0.441500	1.541375	0.462000
18	1.564164	0.443360	1.535340	0.450000
19	1.538937	0.450980	1.488373	0.476600
20	1.526221	0.457760	1.489506	0.474100
21	1.484610	0.471040	1.455145	0.484900
22	1.530240	0.454840	1.458829	0.481100
23	1.489100	0.469400	1.532316	0.459600
24	1.508469	0.463800	1.492359	0.461000
25	1.487117	0.467760	1.442785	0.485000
26	1.466978	0.476780	1.426766	0.499000
27	1.434296	0.490420	1.424618	0.495800
28	1.440710	0.484360	1.449179	0.487400
29	1.451786	0.482180	1.485617	0.471900
30	1.512500	0.458100	1.513434	0.456900
31	1.511956	0.458140	1.522601	0.456800
32	1.505692	0.463020	1.516905	0.463000
33	1.524898	0.457660	1.423905	0.492600
34	1.444065	0.484060	1.428029	0.496800
35	1.425665	0.490160	1.422193	0.494500
36	1.408018	0.497400	1.395396	0.506900
37	1.394483	0.501120	1.378693	0.504900
38	1.399962	0.500760	1.417463	0.502600
39	1.395654	0.501380	1.416498	0.498800
40	1.378209	0.506820	1.382726	0.505200
41	1.397960	0.499980	1.397321	0.501100
42	1.387969	0.505960	1.413154	0.490600
43	1.383837	0.502920	1.413741	0.491100
44	1.425729	0.488520	1.402167	0.495300
45	1.394442	0.500780	1.389125	0.506900
46	1.368432	0.507400	1.370153	0.509100
47	1.361504	0.512600	1.363811	0.512100
48	1.363952	0.508760	1.459259	0.476900
49	1.527734	0.450720	1.440334	0.479600
50	1.437785	0.487140	1.452781	0.478200
51	1.400631	0.499740	1.369826	0.510400
52	1.367041	0.508380	1.372873	0.516600
53	1.386405	0.504880	1.373584	0.517000
54	1.366510	0.510180	1.461113	0.479000
55	1.431260	0.485580	1.406741	0.496300
56	1.406683	0.496980	1.408055	0.504200
57	1.391591	0.500180	1.395958	0.509100
58	1.358955	0.514280	1.356884	0.512800
59	1.340593	0.520580	1.345259	0.518500
60	1.366957	0.511560	1.380546	0.506200
61	1.354976	0.514520	1.362032	0.511000
62	1.334864	0.521760	1.325835	0.526800
63	1.325323	0.525640	1.346160	0.521600
64	1.321232	0.528700	1.367383	0.516300
65	1.312270	0.529580	1.393947	0.503600
66	1.332136	0.523760	1.364368	0.514300
67	1.322798	0.526740	1.344020	0.522600
68	1.316980	0.528060	1.363337	0.519800
69	1.346932	0.516640	1.366189	0.509000
70	1.334454	0.522280	1.351718	0.523200
71	1.336349	0.521220	1.405806	0.493900
72	1.412871	0.492640	1.418065	0.499100
73	1.380326	0.506140	1.391969	0.506200
74	1.371828	0.507180	1.382715	0.509400
75	1.374770	0.508900	1.387560	0.505700
76	1.345718	0.518820	1.345501	0.521700
77	1.330894	0.524600	1.344561	0.514600
78	1.307875	0.530060	1.336410	0.527900
79	1.319925	0.524280	1.352993	0.521000
80	1.339091	0.520080	1.360863	0.515200
81	1.330100	0.526060	1.360319	0.514700
82	1.308692	0.528440	1.390644	0.506900
83	1.309608	0.530540	1.324789	0.529300
84	1.282164	0.539700	1.333964	0.522800
85	1.287368	0.535360	1.327391	0.526000
86	1.268321	0.544180	1.322500	0.530400
87	1.273516	0.544360	1.322957	0.536000
88	1.264755	0.544980	1.322863	0.529200
89	1.268832	0.544040	1.343803	0.518400
90	1.273599	0.541860	1.339968	0.520800
91	1.289378	0.537360	1.358092	0.517900
92	1.311684	0.529060	1.363266	0.507000
93	1.315086	0.529820	1.343017	0.526800
94	1.306554	0.531620	1.356858	0.519400
95	1.282365	0.542420	1.308542	0.536300
96	1.248878	0.550320	1.349128	0.525400
97	1.268346	0.545360	1.301494	0.534800
98	1.251353	0.553360	1.339578	0.526600
99	1.252491	0.552500	1.294755	0.539800
100	1.234326	0.558600	1.312064	0.532900
101	1.259774	0.547080	1.323704	0.527500
102	1.249955	0.551180	1.306340	0.536100
103	1.225736	0.559780	1.331704	0.525500
104	1.232656	0.557480	1.309973	0.531900
105	1.240861	0.555020	1.312484	0.531000
106	1.254774	0.549420	1.317121	0.529400
107	1.235246	0.555020	1.309533	0.537400
108	1.224605	0.558460	1.299924	0.540300
109	1.213070	0.565560	1.312552	0.533600
110	1.212236	0.564100	1.287193	0.544500
111	1.232797	0.557040	1.302016	0.536700
112	1.221283	0.562720	1.298634	0.536100
113	1.202953	0.568100	1.299024	0.536800
114	1.202419	0.568980	1.299352	0.541900
115	1.186629	0.574180	1.317249	0.529900
116	1.213555	0.565140	1.294738	0.544100
117	1.204167	0.567840	1.315745	0.530400
118	1.201086	0.568780	1.312711	0.541800
119	1.214727	0.562720	1.313434	0.537800
120	1.203758	0.567060	1.307037	0.538100
121	1.205719	0.566180	1.304214	0.535700
122	1.184354	0.572860	1.297630	0.534600
123	1.180011	0.576900	1.300358	0.541900
124	1.186188	0.575700	1.296259	0.543300
125	1.180829	0.574520	1.294770	0.545600
126	1.174118	0.578640	1.314299	0.534700
127	1.192828	0.572980	1.327535	0.527600
128	1.177740	0.576260	1.295378	0.543600
129	1.183098	0.576440	1.317753	0.530900
130	1.162191	0.584380	1.293007	0.544400
131	1.163995	0.579760	1.292979	0.543300
132	1.169404	0.579700	1.292424	0.541400
133	1.220376	0.560780	1.331070	0.526200
134	1.229384	0.559180	1.314859	0.531000
135	1.205616	0.567000	1.321090	0.531500
136	1.176563	0.578240	1.276976	0.549800
137	1.171606	0.579600	1.314063	0.533300
138	1.173600	0.578880	1.321338	0.534000
139	1.151885	0.587000	1.270028	0.549900
140	1.141420	0.589860	1.272540	0.546100
141	1.132461	0.592060	1.273856	0.546400
142	1.129276	0.595020	1.301715	0.534300
143	1.135692	0.589800	1.296527	0.539900
144	1.130815	0.595540	1.290586	0.539900
145	1.131748	0.596160	1.280988	0.546000
146	1.130747	0.591900	1.299851	0.535900
147	1.152840	0.586700	1.296235	0.539600
148	1.149688	0.587420	1.276853	0.549900
149	1.133487	0.592240	1.285075	0.550400
150	1.130976	0.592980	1.302803	0.538300
151	1.120955	0.594560	1.314880	0.536200
152	1.127368	0.593520	1.288519	0.544000
153	1.114197	0.598640	1.281236	0.542600
154	1.111289	0.599260	1.278225	0.547500
155	1.108103	0.600680	1.298875	0.542200
156	1.089554	0.607780	1.265408	0.551200
157	1.082400	0.611360	1.270719	0.548700
158	1.083552	0.611520	1.264636	0.553800
159	1.072315	0.613440	1.277159	0.549400
160	1.074805	0.615080	1.298669	0.539900
161	1.076714	0.611480	1.264346	0.559700
162	1.058871	0.621820	1.276779	0.554400
163	1.071925	0.614180	1.268709	0.555000
164	1.075783	0.615300	1.279078	0.550900
165	1.107805	0.603120	1.298610	0.545200
166	1.091605	0.607900	1.275319	0.551600
167	1.078002	0.612060	1.282380	0.550800
168	1.076636	0.613020	1.277569	0.554500
169	1.066269	0.615920	1.304619	0.544900
170	1.065867	0.616360	1.268049	0.553100
171	1.057228	0.621100	1.270201	0.554700
172	1.047136	0.624600	1.259638	0.562100
173	1.038486	0.625440	1.268028	0.556300
174	1.048023	0.623740	1.317229	0.546300
175	1.090925	0.611160	1.289796	0.547700
176	1.060849	0.617900	1.286326	0.551000
177	1.058241	0.620120	1.288661	0.545800
178	1.071168	0.613200	1.322785	0.531000
179	1.072002	0.616940	1.273768	0.556800
180	1.053255	0.623220	1.267871	0.554800
181	1.036943	0.624960	1.278880	0.551900
182	1.044025	0.625820	1.289119	0.549500
183	1.055561	0.621260	1.311868	0.547000
184	1.039088	0.625100	1.328699	0.536700
185	1.059133	0.621280	1.275090	0.555100
186	1.039850	0.627860	1.295242	0.549800
187	1.033494	0.628040	1.296560	0.548700
188	1.031103	0.629020	1.299389	0.541300
189	1.034093	0.625040	1.297350	0.540200
190	1.033169	0.626060	1.303660	0.548800
191	1.035925	0.626480	1.290737	0.551100
192	1.065126	0.616260	1.287951	0.547800
193	1.026040	0.631860	1.267316	0.556500
194	1.007779	0.638380	1.278973	0.551300
195	1.014416	0.632800	1.301722	0.546000
196	1.006562	0.639340	1.302388	0.551700
197	0.999598	0.640980	1.307444	0.546000
198	1.033761	0.628840	1.300259	0.546500
199	1.007188	0.637820	1.279490	0.557200
200	1.005395	0.637780	1.281000	0.557100
201	0.997561	0.639720	1.295614	0.548600
202	1.014006	0.634440	1.299233	0.546500
203	1.020696	0.631140	1.308444	0.546100
204	1.010668	0.635780	1.288576	0.552600
205	0.991421	0.643400	1.287117	0.554400
206	0.992603	0.640880	1.293967	0.549900
207	0.993003	0.641160	1.303867	0.547900
208	0.973784	0.650540	1.274226	0.556200
209	0.975767	0.647900	1.280460	0.554700
210	0.963850	0.652400	1.283668	0.555400
211	0.991767	0.643480	1.293131	0.550300
212	0.985737	0.643100	1.286227	0.555900
213	0.978070	0.647800	1.307128	0.553100
214	0.998795	0.640180	1.297209	0.550900
215	0.985574	0.643460	1.310323	0.545600
216	0.985732	0.645760	1.296553	0.548900
217	0.995870	0.639700	1.290537	0.548300
218	0.988041	0.645640	1.310291	0.547300
219	0.996058	0.641740	1.317970	0.549200
220	0.975598	0.650160	1.304894	0.546000
221	0.963609	0.654440	1.306901	0.555300
222	0.963653	0.651580	1.311138	0.551500
223	0.962305	0.650420	1.288573	0.557100
224	0.958533	0.653920	1.295411	0.546300
225	0.972863	0.650340	1.331932	0.542200
226	0.979577	0.646360	1.283345	0.553300
227	0.961817	0.654340	1.301372	0.550300
228	0.969068	0.650480	1.317333	0.549100
229	0.969872	0.649980	1.339657	0.539900
230	0.969969	0.645700	1.303714	0.548500
231	0.973451	0.648180	1.308865	0.550100
232	0.974988	0.647060	1.296192	0.555500
233	0.949480	0.657960	1.296701	0.556900
234	0.970995	0.647320	1.341144	0.537800
235	0.973527	0.648460	1.313586	0.545700
236	0.962692	0.652820	1.296101	0.553000
237	0.946420	0.658640	1.308436	0.546300
238	0.937152	0.659860	1.289815	0.555900
239	0.923211	0.665220	1.327938	0.548200
240	0.945475	0.659280	1.326283	0.544700
241	0.923185	0.665140	1.294322	0.557900
242	0.921970	0.667060	1.310162	0.549000
243	0.911752	0.671840	1.338291	0.545700
244	0.931621	0.662820	1.307431	0.550400
245	0.934686	0.660120	1.319280	0.542600
246	0.916631	0.670720	1.302192	0.557700
247	0.915026	0.671220	1.303828	0.559900
248	0.917354	0.668140	1.312042	0.550400
249	0.927310	0.665900	1.331335	0.546600
250	0.936941	0.662540	1.317948	0.551300
251	0.925164	0.666020	1.301671	0.556000
252	0.903692	0.673480	1.299898	0.555000
253	0.901116	0.675260	1.313103	0.557300
254	0.906218	0.673040	1.335651	0.548400
255	0.905863	0.673400	1.304189	0.554500
256	0.914787	0.670800	1.314326	0.545600
257	0.914877	0.669580	1.337177	0.546300
258	0.939892	0.662360	1.362213	0.536900
259	0.986434	0.643720	1.333133	0.541600
260	0.972880	0.649220	1.338750	0.542000
261	0.938711	0.660820	1.334793	0.546500
262	0.931479	0.663860	1.327631	0.547700
263	0.916353	0.669760	1.324070	0.553900
264	0.905716	0.672820	1.328398	0.544000
265	0.925633	0.664340	1.331013	0.547200
266	0.939975	0.661680	1.318564	0.548900
267	0.929615	0.663360	1.299961	0.558000
268	0.899042	0.675500	1.312066	0.553900
269	0.900066	0.675700	1.327075	0.557400
270	0.935012	0.662940	1.333972	0.544300
271	0.928207	0.663700	1.342663	0.549600
272	0.916868	0.669560	1.334797	0.546000
273	0.930513	0.664980	1.321917	0.545700
274	0.924173	0.665520	1.336056	0.551700
275	0.908853	0.670160	1.332838	0.556100
276	0.899546	0.675840	1.321795	0.554100
277	0.886717	0.681760	1.344727	0.546000
278	0.908686	0.672260	1.332739	0.552000
279	0.883808	0.681300	1.329282	0.552200
280	0.873533	0.684380	1.325867	0.553300
281	0.874543	0.683700	1.331207	0.553300
282	0.880888	0.680360	1.328879	0.546900
283	0.875945	0.684200	1.321607	0.551700
284	0.906621	0.674300	1.333445	0.551300
285	0.887755	0.679000	1.341716	0.555100
286	0.889355	0.679640	1.328410	0.548400
287	0.882516	0.681620	1.339314	0.547300
288	0.857755	0.692360	1.342542	0.550400
289	0.858542	0.691200	1.331248	0.550200
290	0.869453	0.687320	1.352112	0.544300
