epoch	loss	acc	val_loss	val_acc
0	7.588960	0.008408	7.510730	0.000230
1	7.494987	0.000200	7.484902	0.000100
2	7.475243	0.000110	7.469217	0.000070
3	7.459562	0.000070	7.452159	0.000080
4	7.436540	0.000344	7.419830	0.000800
5	7.419789	0.003316	7.445673	0.001120
6	7.403518	0.011724	8.121644	0.093190
7	7.532247	0.026632	7.462844	0.001580
8	7.412932	0.005578	7.399851	0.025460
9	7.407788	0.028016	7.402101	0.057880
10	8.262978	0.006508	7.474242	0.000070
11	7.454570	0.000132	7.442856	0.000120
12	7.426652	0.000350	7.414395	0.000640
13	7.392187	0.003104	7.382092	0.008780
14	7.490559	0.023518	7.536478	0.002080
15	7.485627	0.000822	7.459446	0.000410
16	7.439326	0.000488	7.426493	0.000530
17	7.411968	0.000822	7.399714	0.001300
18	7.456527	0.003664	7.648908	0.001390
19	7.589784	0.000524	7.557520	0.000200
20	7.539177	0.000138	7.527227	0.000040
21	7.515732	0.000088	7.508619	0.000060
22	7.500121	0.000076	7.495340	0.000060
23	7.488489	0.000076	7.485066	0.000060
24	7.479202	0.000076	7.476652	0.000040
25	7.471432	0.000088	7.469482	0.000040
26	7.464669	0.000100	7.463152	0.000070
27	7.458581	0.000128	7.457329	0.000120
28	7.453004	0.000174	7.451676	0.000120
29	7.447264	0.000212	7.446009	0.000220
30	7.441410	0.000314	7.441164	0.000260
31	7.435853	0.000362	7.434607	0.000380
32	7.429619	0.000604	7.429256	0.000310
33	7.423802	0.000634	7.419883	0.000670
34	7.414139	0.001072	7.410410	0.001270
35	7.403176	0.001944	7.398526	0.002560
36	7.392690	0.003842	7.389581	0.005190
37	7.381710	0.006482	7.389534	0.007360
38	7.389668	0.011322	7.397512	0.013950
39	7.406838	0.015850	7.407496	0.013060
40	7.381871	0.014348	7.388445	0.014210
41	7.469247	0.007016	7.428630	0.003070
42	7.405484	0.003472	7.384422	0.004250
43	7.369752	0.005300	7.356217	0.008470
44	7.367962	0.014434	7.384986	0.024400
45	7.429642	0.022176	7.430132	0.008670
46	7.380483	0.008364	7.356796	0.013500
47	7.412063	0.006484	7.385162	0.004340
48	7.361237	0.007078	7.352761	0.009430
49	7.361740	0.020170	7.426753	0.033290
50	7.512733	0.008946	7.450118	0.003850
51	7.423425	0.003356	7.403942	0.003510
52	7.381449	0.004278	7.370202	0.005790
53	7.347245	0.012330	7.365695	0.022570
54	7.415090	0.024938	7.370607	0.013450
55	7.399461	0.010414	7.465192	0.005580
56	8.151381	0.000834	8.110143	0.000030
57	8.060474	0.000010	8.020926	0.000000
58	7.991761	0.000006	7.967127	0.000000
59	7.946516	0.000006	7.929007	0.000000
60	7.913249	0.000004	7.899772	0.000000
61	7.887082	0.000008	7.876218	0.000000
62	7.865639	0.000006	7.856589	0.000000
63	7.847547	0.000002	7.839844	0.000000
64	7.831971	0.000002	7.825290	0.000000
65	7.818331	0.000002	7.812459	0.000000
66	7.806236	0.000002	7.801013	0.000000
67	7.795392	0.000002	7.790704	0.000000
68	7.785586	0.000002	7.781345	0.000000
69	7.776652	0.000002	7.772787	0.000000
70	7.768456	0.000002	7.764917	0.000000
71	7.760901	0.000002	7.757643	0.000000
72	7.753902	0.000002	7.750889	0.000000
73	7.747389	0.000002	7.744589	0.000000
74	7.741302	0.000002	7.738692	0.000000
75	7.735595	0.000002	7.733154	0.000000
76	7.730228	0.000002	7.727940	0.000000
77	7.725168	0.000002	7.723018	0.000000
78	7.720385	0.000002	7.718359	0.000000
79	7.715852	0.000002	7.713937	0.000000
80	7.711546	0.000002	7.709734	0.000000
81	7.707449	0.000002	7.705731	0.000000
82	7.703543	0.000002	7.701912	0.000000
83	7.699813	0.000002	7.698262	0.000000
84	7.696246	0.000002	7.694770	0.000000
85	7.692831	0.000002	7.691422	0.000000
86	7.689554	0.000002	7.688208	0.000000
87	7.686406	0.000002	7.685119	0.000000
88	7.683380	0.000002	7.682149	0.000000
89	7.680467	0.000002	7.679287	0.000000
90	7.677660	0.000002	7.676529	0.000000
91	7.674952	0.000002	7.673868	0.000000
92	7.672339	0.000002	7.671296	0.000000
93	7.669812	0.000002	7.668808	0.000000
94	7.667366	0.000002	7.666401	0.000000
95	7.665000	0.000002	7.664070	0.000000
96	7.662707	0.000002	7.661810	0.000000
97	7.660482	0.000002	7.659618	0.000000
98	7.658324	0.000002	7.657490	0.000000
99	7.656229	0.000002	7.655423	0.000000
