epoch	loss	acc	val_loss	val_acc
0	5.609838	0.211786	5.428217	0.046970
1	5.063145	0.024330	4.158950	0.003430
2	4.158697	0.003752	4.158830	0.003560
3	4.158669	0.003926	4.158810	0.003660
4	4.158664	0.004026	4.158808	0.003670
5	4.158663	0.004060	4.158701	0.003790
6	4.158662	0.004100	4.158693	0.003870
7	4.571500	0.004610	5.431610	0.003740
8	5.430864	0.003936	5.431313	0.003800
9	5.430597	0.003906	5.431284	0.003830
10	5.208987	0.006278	4.158740	0.008400
11	4.158809	0.006176	4.158997	0.004540
12	4.158759	0.004712	4.158985	0.004300
13	4.158752	0.004662	4.158982	0.004300
14	4.158864	0.006602	4.158725	0.010640
15	4.157902	0.008464	4.156976	0.008530
16	4.763826	0.009120	5.432055	0.003930
17	5.431399	0.004152	5.431910	0.003970
18	5.431079	0.004048	5.431600	0.003810
19	5.430654	0.004244	5.431434	0.005800
20	5.429871	0.005098	5.430039	0.004250
21	4.987226	0.006170	4.158980	0.003940
22	4.158810	0.004110	4.158979	0.003930
23	4.158803	0.003968	4.158976	0.003880
24	4.158798	0.003966	4.158973	0.003790
25	4.158796	0.003936	4.158972	0.003760
26	4.158793	0.003922	4.158970	0.003660
27	4.158793	0.003858	4.158970	0.003650
28	4.158792	0.003908	4.158969	0.003600
29	4.158790	0.003802	4.158971	0.003670
30	4.158790	0.003860	4.158969	0.003550
31	4.158789	0.003850	4.158967	0.003590
32	4.158789	0.003822	4.158968	0.003610
33	4.158788	0.003826	4.158969	0.003670
34	4.158787	0.003850	4.158967	0.003630
35	4.158786	0.003792	4.158967	0.003650
36	4.158785	0.003866	4.158965	0.003530
37	4.158786	0.003804	4.158966	0.003560
38	4.158784	0.003798	4.158964	0.003520
39	4.158784	0.003808	4.158963	0.003500
40	4.158784	0.003786	4.158964	0.003500
41	4.158783	0.003770	4.158964	0.003480
42	4.158782	0.003748	4.158964	0.003480
43	4.158782	0.003700	4.158963	0.003460
44	4.158781	0.003710	4.158962	0.003440
45	4.158781	0.003726	4.158962	0.003430
46	4.158781	0.003756	4.158962	0.003430
47	4.158780	0.003628	4.158962	0.003440
48	4.158780	0.003660	4.158961	0.003430
49	4.158779	0.003676	4.158961	0.003410
50	4.161542	0.004574	4.159083	0.001160
51	4.158923	0.001240	4.159083	0.001150
52	4.158923	0.001212	4.159083	0.001140
53	4.158923	0.001230	4.159082	0.001130
54	4.158922	0.001230	4.159082	0.001120
55	4.158922	0.001224	4.159081	0.001100
56	4.158922	0.001202	4.159082	0.001120
57	4.158921	0.001184	4.159082	0.001160
58	4.158921	0.001228	4.159081	0.001120
59	4.158921	0.001208	4.159081	0.001120
60	4.158921	0.001196	4.159081	0.001120
61	4.158921	0.001204	4.159081	0.001110
62	4.158920	0.001176	4.159081	0.001110
63	4.158920	0.001194	4.159081	0.001110
64	4.158920	0.001198	4.159081	0.001100
65	4.158920	0.001190	4.159081	0.001100
66	4.158920	0.001192	4.159080	0.001100
67	4.158919	0.001172	4.159081	0.001130
68	4.158919	0.001198	4.159080	0.001090
69	4.158919	0.001198	4.159080	0.001080
70	4.158919	0.001196	4.159080	0.001080
71	4.158919	0.001176	4.159080	0.001090
72	4.158918	0.001172	4.159080	0.001090
73	4.158918	0.001182	4.159080	0.001100
74	4.158918	0.001202	4.159080	0.001090
75	4.158918	0.001196	4.159080	0.001090
76	4.158918	0.001202	4.159079	0.001080
77	4.158918	0.001162	4.159080	0.001100
78	4.158917	0.001178	4.159080	0.001110
79	4.158917	0.001198	4.159080	0.001100
80	4.158917	0.001180	4.159080	0.001100
81	4.158917	0.001190	4.159080	0.001100
82	4.158917	0.001200	4.159079	0.001090
83	4.158917	0.001184	4.159079	0.001090
84	4.158917	0.001178	4.159080	0.001100
85	4.158916	0.001174	4.159080	0.001130
86	4.158916	0.001188	4.159080	0.001110
87	4.158916	0.001186	4.159080	0.001110
88	4.158916	0.001186	4.159080	0.001140
89	4.158916	0.001206	4.159080	0.001110
90	4.158916	0.001190	4.159080	0.001130
91	4.158916	0.001190	4.159080	0.001120
92	4.158916	0.001208	4.159079	0.001110
93	4.158915	0.001186	4.159079	0.001110
94	4.158915	0.001192	4.159079	0.001110
95	4.158915	0.001194	4.159079	0.001100
96	4.158915	0.001180	4.159079	0.001110
97	4.158915	0.001196	4.159079	0.001100
98	4.158915	0.001192	4.159079	0.001100
99	4.158915	0.001184	4.159079	0.001100
