epoch	loss	acc	val_loss	val_acc
0	0.346641	0.186120	0.408044	0.115350
1	0.302193	0.207630	0.350815	0.147540
2	0.273615	0.242246	0.250991	0.254810
3	0.248742	0.281234	0.271534	0.252150
4	0.227995	0.321658	0.236210	0.281440
5	0.211856	0.358656	0.232794	0.305060
6	0.193645	0.405136	0.175758	0.428150
7	0.180964	0.444350	0.248121	0.271600
8	0.173167	0.470176	0.124699	0.640430
9	0.162065	0.504934	0.204533	0.376070
10	0.150102	0.549690	0.130965	0.611850
11	0.143754	0.571596	0.168793	0.480380
12	0.137403	0.598022	0.097159	0.754710
13	0.128671	0.633938	0.185693	0.416520
14	0.126892	0.641174	0.124043	0.648550
15	0.118407	0.673300	0.099183	0.760450
16	0.115759	0.685334	0.099287	0.763660
17	0.107834	0.715258	0.078372	0.802470
18	0.107434	0.714534	0.121994	0.680910
19	0.101680	0.737198	0.076244	0.817320
20	0.099267	0.746392	0.113844	0.679700
21	0.094078	0.767878	0.093028	0.781710
22	0.094343	0.765174	0.090589	0.764920
23	0.090781	0.776036	0.106952	0.764600
24	0.086549	0.792114	0.090528	0.744700
25	0.087848	0.787650	0.102474	0.748290
26	0.083453	0.802432	0.119775	0.634230
27	0.081730	0.810962	0.052558	0.888320
28	0.081873	0.808266	0.078177	0.825970
29	0.079078	0.818558	0.062243	0.864850
30	0.078561	0.818224	0.095003	0.764050
31	0.076724	0.827436	0.085614	0.810520
32	0.073914	0.833176	0.096437	0.758220
33	0.075518	0.829416	0.101262	0.766790
34	0.073070	0.836248	0.084386	0.830590
35	0.071697	0.840740	0.074254	0.851420
36	0.070943	0.842220	0.080607	0.807130
37	0.068347	0.846224	0.091200	0.790260
38	0.070751	0.841576	0.072553	0.838440
39	0.069490	0.847170	0.075644	0.852120
40	0.067239	0.849718	0.057599	0.869920
41	0.069730	0.843092	0.067457	0.864420
42	0.065998	0.853514	0.051124	0.899720
43	0.066157	0.854842	0.049432	0.894560
44	0.065780	0.858294	0.049128	0.900170
45	0.066290	0.852656	0.102617	0.722350
46	0.065458	0.856080	0.063623	0.867190
47	0.063889	0.861006	0.055109	0.878610
48	0.063724	0.860176	0.093528	0.769080
49	0.065117	0.857348	0.069151	0.832120
50	0.064107	0.860862	0.086525	0.778780
51	0.063426	0.860292	0.057743	0.873510
52	0.062377	0.862424	0.052077	0.898460
53	0.062246	0.864870	0.075063	0.846300
54	0.062341	0.862126	0.080308	0.784880
55	0.064307	0.858984	0.052602	0.897180
56	0.061413	0.866360	0.062834	0.864240
57	0.062223	0.866560	0.087810	0.742500
58	0.061385	0.866614	0.058916	0.881500
59	0.062654	0.864330	0.077728	0.826160
60	0.061176	0.864936	0.063814	0.843140
61	0.061431	0.868110	0.059300	0.888520
62	0.060334	0.868004	0.051758	0.890980
63	0.060101	0.869714	0.060304	0.862830
64	0.061553	0.866748	0.067748	0.857170
65	0.060060	0.867626	0.077706	0.828070
66	0.061726	0.867140	0.080502	0.813560
67	0.060256	0.868446	0.061770	0.876290
68	0.059824	0.870648	0.056717	0.879520
69	0.059250	0.868062	0.074754	0.829520
70	0.061221	0.864836	0.062689	0.874110
71	0.059614	0.869084	0.050054	0.886360
72	0.061014	0.868286	0.084440	0.804320
73	0.060645	0.868836	0.050104	0.890230
74	0.058658	0.873252	0.055731	0.885660
75	0.059507	0.871864	0.061368	0.864040
76	0.059371	0.872052	0.056937	0.892250
77	0.061135	0.869104	0.089159	0.766270
78	0.059408	0.869416	0.047825	0.900380
79	0.058398	0.872676	0.060399	0.896790
80	0.060490	0.868656	0.047159	0.894820
81	0.059650	0.870138	0.065322	0.867940
82	0.058294	0.874350	0.054159	0.888840
83	0.059413	0.870538	0.069326	0.835840
84	0.059758	0.870194	0.064027	0.865330
85	0.058642	0.874060	0.057985	0.878610
86	0.060201	0.867068	0.054172	0.873490
87	0.058975	0.872122	0.047257	0.899080
88	0.058668	0.873686	0.072667	0.849420
89	0.059430	0.869640	0.047198	0.891260
90	0.060713	0.869652	0.084577	0.783300
91	0.057503	0.874618	0.053524	0.888760
92	0.060909	0.869942	0.044773	0.898580
93	0.057722	0.874782	0.056261	0.880120
94	0.059025	0.871328	0.060297	0.859920
95	0.058617	0.870678	0.074610	0.841850
96	0.059687	0.869316	0.050100	0.898970
97	0.059648	0.870342	0.055524	0.871790
98	0.057616	0.874212	0.071048	0.838620
99	0.060314	0.870410	0.052830	0.888210
